"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,48.4947200031954,5.29625457215502
"2",2022-03-08 00:00:05,1,303,100,49.0174947285969,5.69305537805175
"3",2022-03-08 00:00:10,1,303,100,50.2490458744162,5.58093714308681
"4",2022-03-08 00:00:15,1,303,100,50.2997006309582,5.55143731817425
"5",2022-03-08 00:00:20,1,303,100,48.1938357892148,5.62454270451676
"6",2022-03-08 00:00:25,1,303,100,50.4480198118348,5.8345127175605
"7",2022-03-08 00:00:30,1,303,100,49.9673116088724,5.38773074698071
"8",2022-03-08 00:00:35,1,303,100,49.9286420688526,5.33265680053958
"9",2022-03-08 00:00:40,1,303,100,48.7994856389843,5.50827968544437
"10",2022-03-08 00:00:45,1,303,100,50.6035546116584,5.70456987256072
"11",2022-03-08 00:00:50,1,303,100,49.7010725931254,5.77986328023151
"12",2022-03-08 00:00:55,1,303,100,51.9304260160774,5.56992331720872
"13",2022-03-08 00:01:00,1,303,100,52.003708958579,5.66446276436132
"14",2022-03-08 00:01:05,1,303,100,50.7434219223701,5.56827806300277
"15",2022-03-08 00:01:10,1,303,100,49.0620940059964,5.81664226333476
"16",2022-03-08 00:01:15,1,303,100,48.8145406815191,5.14682184316999
"17",2022-03-08 00:01:20,1,303,100,51.4942092136519,5.36840130501501
"18",2022-03-08 00:01:25,1,303,100,48.2632105121328,5.5621463406081
"19",2022-03-08 00:01:30,1,303,100,49.3762593449141,5.44771439334424
"20",2022-03-08 00:01:35,1,303,100,50.3514910180854,5.7034190574191
"21",2022-03-08 00:01:40,1,303,100,49.2605051782493,5.45938883763372
"22",2022-03-08 00:01:45,1,303,100,49.7577178822455,5.07522408613781
"23",2022-03-08 00:01:50,1,303,100,48.2215727036718,5.58907741020854
"24",2022-03-08 00:01:55,1,303,100,50.5061230859724,5.72734241501298
"25",2022-03-08 00:02:00,1,303,100,48.9161080910625,5.44823552339395
"26",2022-03-08 00:02:05,1,303,100,49.1008645835011,5.53613951820399
"27",2022-03-08 00:02:10,1,303,100,51.1065137495046,5.49826601239016
"28",2022-03-08 00:02:15,1,303,100,48.2252235093918,5.73088715362765
"29",2022-03-08 00:02:20,1,303,100,48.4352430610067,5.18418556090776
"30",2022-03-08 00:02:25,1,303,100,50.0856421805252,5.67540703056287
"31",2022-03-08 00:02:30,1,303,100,52.1112825461638,5.30168467707192
"32",2022-03-08 00:02:35,1,303,100,48.3333359115137,4.95446628969412
"33",2022-03-08 00:02:40,1,303,100,48.477090078018,5.43389491616308
"34",2022-03-08 00:02:45,1,303,100,49.519030511704,5.3467461200003
"35",2022-03-08 00:02:50,1,303,100,49.4068598349983,5.28583224572462
"36",2022-03-08 00:02:55,1,303,100,49.8859954884311,5.21040265252264
"37",2022-03-08 00:03:00,1,303,100,50.9385963077521,5.37241020465617
"38",2022-03-08 00:03:05,1,303,100,51.4177019108628,5.33622629233473
"39",2022-03-08 00:03:10,1,303,100,48.1610582243488,5.36062683624627
"40",2022-03-08 00:03:15,1,303,100,49.5564451846585,5.43729635528921
"41",2022-03-08 00:03:20,1,303,100,50.6486272588164,5.8833552782412
"42",2022-03-08 00:03:25,1,303,100,51.6152331312075,5.33539477389688
"43",2022-03-08 00:03:30,1,303,100,50.2510679815397,5.52147703061805
"44",2022-03-08 00:03:35,1,303,100,49.688842564282,5.60945929454773
"45",2022-03-08 00:03:40,1,303,100,50.4884912577888,5.74340567438177
"46",2022-03-08 00:03:45,1,303,100,49.4678808901307,5.3292577931509
"47",2022-03-08 00:03:50,1,303,100,50.4893140572863,5.41245580007714
"48",2022-03-08 00:03:55,1,303,100,48.9239115202697,5.4778185957752
"49",2022-03-08 00:04:00,1,303,100,51.0946716661935,5.52692168755835
"50",2022-03-08 00:04:05,1,303,100,48.6965368647664,5.54104072445966
"51",2022-03-08 00:04:10,1,303,100,47.8563818947578,5.41358313334828
"52",2022-03-08 00:04:15,1,303,100,48.7614460360965,5.62972087170426
"53",2022-03-08 00:04:20,1,303,100,50.8479033251544,5.53342221105924
"54",2022-03-08 00:04:25,1,303,100,46.4238930332774,5.36555570114569
"55",2022-03-08 00:04:30,1,303,100,48.6969400051748,5.12185684742566
"56",2022-03-08 00:04:35,1,303,100,49.0175191998111,5.20751202758489
"57",2022-03-08 00:04:40,1,303,100,49.0867633839363,5.3862425375467
"58",2022-03-08 00:04:45,1,303,100,53.7664827532365,5.54962365592039
"59",2022-03-08 00:04:50,1,303,100,49.0830831246297,5.79417308953141
"60",2022-03-08 00:04:55,1,303,100,48.6721988843615,5.48239899700692
"61",2022-03-08 00:05:00,1,303,100,47.1639639276574,5.59425569990052
"62",2022-03-08 00:05:05,1,303,100,50.1457675622278,5.50268327139017
"63",2022-03-08 00:05:10,1,303,100,49.7683487934835,5.28706926959007
"64",2022-03-08 00:05:15,1,303,100,50.6222075280389,5.57735990588118
